"Level","FullPartial","PlayerTeamScore","OpponentTeamScore","Eliminations","Deaths","Score","Damage","TotalXP","XPType","Mode","Game"
"Raid","Full",100,98,16,19,3140,2422,9665,"Regular","Core","TDM"
"Raid","Full",71,93,13,17,2685,1957,19746,"Double","Core","TDM"
"Moscow","Full",250,76,31,9,4260,4251,18824,"Double","Core","Hardpoint"
"Cartel","Full",100,89,22,16,2775,3134,20395,"Double","Core","TDM"
"Crossroads Strike","Full",100,75,18,14,1725,2457,9559,"Regular","Core","TDM"
"Raid","Full",100,73,16,12,1725,1961,16737,"Double","Core","TDM"
"Hijacked","Full",97,100,10,22,1100,2000,15289,"Double","Core","TDM"
"Crossroads Strike","Full",100,98,22,14,4325,3074,15749,"Double","Core","TDM"
"Miami Strike","Full",95,77,20,13,3585,2238,9044,"Regular","Core","TDM"
"Standoff","Full",250,48,22,10,2445,2996,19914,"Double","Core","Hardpoint"
"Nuketown '84","Full",100,96,20,23,2335,2940,14912,"Regular","Core","TDM"
"Crossroads Strike","Full",98,100,21,15,3430,3402,12857,"Double","Core","TDM"
"Miami Strike","Full",100,78,16,16,2780,2260,14705,"Double","Core","TDM"
"Yamantau","Full",85,100,18,21,2830,2529,19426,"Double","Core","TDM"
"Raid","Full",100,59,23,9,6565,3139,19292,"Double","Core","TDM"
"Standoff","Partial",236,250,20,27,3025,3228,12698,"Regular","Core","Hardpoint"
"Checkmate","Full",88,96,13,23,1890,2195,16439,"Double","Core","TDM"
"Zoo","Partial",176,250,13,14,1905,1387,12988,"Double","Core","Hardpoint"
"Garrison","Full",199,250,38,25,3715,4547,25970,"Double","Core","Hardpoint"
"Moscow","Full",46,100,11,20,1445,1914,11183,"Double","Core","TDM"
"Express","Full",94,87,35,9,8325,4869,15240,"Regular","Core","TDM"
"Checkmate","Full",250,134,15,14,1420,2346,8505,"Regular","Core","Hardpoint"
"Express","Full",72,100,17,11,3235,2946,15858,"Double","Core","TDM"
"Cartel","Full",100,76,15,12,2180,2327,21161,"Double","Core","TDM"
"Checkmate","Full",94,250,14,23,1790,2441,14618,"Double","Core","Hardpoint"
"Raid","Full",87,98,26,14,4015,3719,20188,"Double","Core","TDM"
"Raid","Full",75,100,23,16,4570,3704,18649,"Double","Core","TDM"
"Express","Full",79,100,20,13,2540,2956,20266,"Double","Core","TDM"
"Raid","Full",79,100,13,10,3515,1995,8366,"Regular","Core","TDM"
"The Pines","Full",100,79,17,9,3310,2522,20659,"Double","Core","TDM"
"Express","Full",100,93,14,14,2080,1850,17694,"Double","Core","TDM"
"Express","Full",171,250,22,26,2935,3770,16671,"Double","Core","Hardpoint"
"Apocalypse","Full",100,65,19,10,4850,2676,23998,"Double","Core","TDM"
"The Pines","Full",100,76,16,14,2315,2412,9659,"Regular","Core","TDM"
"Diesel","Full",85,100,14,16,2280,2453,7766,"Regular","Core","TDM"
"Standoff","Partial",100,86,3,4,300,450,8161,"Double","Core","TDM"
"Express","Full",250,117,31,14,3360,4142,17844,"Regular","Core","Hardpoint"
"Garrison","Full",250,160,27,15,4530,3591,21516,"Regular","Core","Hardpoint"
"Yamantau","Full",100,97,16,15,2510,2758,27944,"Double","Core","TDM"
"Cartel","Full",100,87,19,16,2140,2773,19174,"Double","Core","TDM"
"Checkmate","Full",81,90,17,17,2660,3021,17970,"Double","Core","TDM"
"Standoff","Full",100,96,17,13,2660,2592,18873,"Double","Core","TDM"
"Standoff","Full",88,100,13,14,1855,1905,11271,"Regular","Core","TDM"
"Cartel","Full",250,143,28,27,3310,3635,27017,"Double","Core","Hardpoint"
"Miami Strike","Full",85,100,22,17,3630,3064,18853,"Double","Core","TDM"
"Miami Strike","Full",61,100,10,23,1420,1425,17185,"Double","Core","TDM"
"Checkmate","Full",77,100,17,19,3420,2618,20672,"Double","Core","TDM"
"Yamantau","Full",98,250,20,20,3000,2597,15991,"Double","Core","Hardpoint"
"Diesel","Full",100,97,24,22,2300,3529,10429,"Regular","Core","TDM"
"Crossroads Strike","Full",100,95,20,17,3000,3022,15072,"Double","Core","TDM"
"Nuketown '84","Full",86,100,14,14,3095,2239,5925,"Regular","Core","TDM"
"Raid","Full",100,91,12,13,2075,1878,20506,"Double","Core","TDM"
"Moscow","Full",91,90,19,17,3395,2635,15937,"Regular","Core","TDM"
"Raid","Full",100,90,26,10,3015,3201,20407,"Double","Core","TDM"
"Nuketown '84","Full",85,100,25,15,4340,3685,15303,"Double","Core","TDM"
"Standoff","Full",100,80,20,12,4610,2832,21516,"Double","Core","TDM"
"Crossroads Strike","Full",72,100,10,19,1685,1918,10974,"Double","Core","TDM"
"Cartel","Partial",80,85,12,12,850,1550,11171,"Double","Core","TDM"
"Express","Full",100,63,16,9,1965,2085,16763,"Double","Core","TDM"
"Checkmate","Full",70,94,11,15,1470,1754,14436,"Double","Core","TDM"
"Moscow","Full",100,66,12,12,1360,1967,15178,"Double","Core","TDM"
"Raid","Full",100,74,22,13,4240,2981,11749,"Regular","Core","TDM"
"The Pines","Partial",84,99,3,10,280,680,11002,"Double","Core","TDM"
"Diesel","Full",100,94,17,12,2860,2565,20441,"Double","Core","TDM"
"Garrison","Full",233,250,40,11,4535,5068,25634,"Double","Core","Hardpoint"
"Miami Strike","Full",100,68,20,12,3760,2657,15455,"Double","Core","TDM"
"Cartel","Full",80,81,9,18,1320,1429,12353,"Double","Core","TDM"
"Collateral Strike","Full",211,250,42,26,6885,5602,27327,"Regular","Core","Hardpoint"
"Yamantau","Full",100,98,29,14,6225,3970,26227,"Double","Core","TDM"
"Diesel","Full",87,240,43,25,4460,5926,20300,"Regular","Core","Hardpoint"
"The Pines","Full",250,203,39,19,5420,5693,40515,"Double","Core","Hardpoint"
"Crossroads Strike","Full",195,200,33,27,4565,5122,15129,"Regular","Core","Domination"
"Standoff","Full",250,154,21,22,2860,3574,12857,"Regular","Core","Hardpoint"
"Miami Strike","Full",94,100,11,20,1320,1607,12555,"Double","Core","TDM"
"Crossroads Strike","Full",100,70,23,10,3235,3306,14863,"Double","Core","TDM"
"Checkmate","Full",82,92,18,13,4155,2948,18315,"Double","Core","TDM"
"Garrison","Full",90,100,16,15,2110,2745,17141,"Double","Core","TDM"
"Garrison","Full",73,94,19,18,2880,2911,17439,"Double","Core","TDM"
"Checkmate","Full",98,94,14,16,2305,2189,19756,"Double","Core","TDM"
"Checkmate","Full",100,97,22,17,3410,2741,22452,"Double","Core","TDM"
"Diesel","Full",143,200,16,22,2015,3044,13522,"Regular","Core","Domination"
"Cartel","Full",83,80,16,14,2125,2242,11033,"Regular","Core","TDM"
"Cartel","Full",92,87,11,19,1720,1926,16009,"Double","Core","TDM"
"Checkmate","Full",83,99,25,19,3345,3721,12829,"Regular","Core","TDM"
"Rush","Full",250,77,18,13,4125,2104,19515,"Double","Core","Hardpoint"
"Raid","Full",63,100,14,15,2180,2213,16464,"Double","Core","TDM"
"Apocalypse","Full",250,187,28,29,2700,3464,23444,"Double","Core","Hardpoint"
"Garrison","Full",100,78,21,12,3980,2925,20807,"Double","Core","TDM"
"Miami Strike","Full",100,91,20,18,3135,3176,16162,"Regular","Core","TDM"
"Miami Strike","Full",100,51,13,9,2050,1953,13121,"Double","Core","TDM"
"Crossroads Strike","Full",100,89,15,13,2175,2230,17477,"Double","Core","TDM"
"Checkmate","Partial",99,93,9,12,1830,1300,11181,"Double","Core","TDM"
"Express","Full",100,84,21,13,4025,2740,20368,"Double","Core","TDM"
"Express","Full",100,70,25,14,5015,3544,18517,"Double","Core","TDM"
"Yamantau","Full",250,91,27,16,3340,2809,11703,"Regular","Core","Hardpoint"
"Raid","Full",98,100,27,19,4330,3695,20267,"Double","Core","TDM"
"Rush","Full",74,250,19,20,2190,3271,15097,"Double","Core","Hardpoint"
"Checkmate","Full",164,250,22,23,3130,3349,8718,"Regular","Core","Hardpoint"
"Garrison","Full",88,78,18,13,3630,2752,24546,"Double","Core","TDM"
"Yamantau","Full",73,100,17,20,1770,1947,13200,"Regular","Core","TDM"
"Crossroads Strike","Full",87,100,20,12,3290,2744,11423,"Regular","Core","TDM"
"Standoff","Full",77,100,10,14,1785,1624,22456,"Double","Core","TDM"
"Raid","Full",92,100,16,17,2075,2550,14816,"Double","Core","TDM"
"Zoo","Full",205,250,34,31,4460,4977,23212,"Double","Core","Hardpoint"
"Crossroads Strike","Full",100,86,23,19,3895,3310,23048,"Double","Core","TDM"
"Express","Full",250,185,31,20,3810,3082,30458,"Double","Core","Hardpoint"
"Checkmate","Full",100,79,10,14,1135,983,7842,"Regular","Core","TDM"
"Apocalypse","Full",100,65,26,9,5935,3779,25457,"Double","Core","TDM"
"Raid","Full",85,96,13,17,2410,3021,7633,"Regular","Core","TDM"
"Checkmate","Full",90,74,15,17,1710,2154,25000,"Double","Core","TDM"
"Raid","Full",89,100,19,16,3060,2662,15829,"Double","Core","TDM"
"Checkmate","Full",80,100,17,15,2545,2834,11689,"Regular","Core","TDM"
"Checkmate","Full",99,76,16,15,2975,2067,18855,"Regular","Core","TDM"
"Nuketown '84","Full",100,70,20,13,2335,2223,15581,"Double","Core","TDM"
"Echelon","Full",81,80,17,19,2595,2960,19040,"Double","Core","TDM"
"Crossroads Strike","Full",75,100,34,14,10745,5002,11828,"Regular","Core","TDM"
"Moscow","Full",250,75,25,14,2490,3139,18367,"Double","Core","Hardpoint"
"Checkmate","Full",83,100,15,18,2020,2335,14306,"Double","Core","TDM"
"Apocalypse","Full",100,70,17,12,2370,1973,16792,"Double","Core","TDM"
"Nuketown '84","Full",100,89,17,20,2090,2960,7818,"Regular","Core","TDM"
"Checkmate","Full",192,250,17,23,2200,2032,19251,"Double","Core","Hardpoint"
"Crossroads Strike","Full",72,100,12,17,1530,1814,14057,"Double","Core","TDM"
"Checkmate","Full",91,73,18,13,3265,2401,20746,"Double","Core","TDM"
"Crossroads Strike","Full",100,88,17,15,2650,1988,12943,"Double","Core","TDM"
"Crossroads Strike","Full",100,91,14,17,1835,2216,14081,"Double","Core","TDM"
"Nuketown '84","Full",100,99,15,20,2060,2899,15333,"Double","Core","TDM"
"Raid","Full",100,96,30,15,7070,4147,32154,"Double","Core","TDM"
"Miami Strike","Full",100,87,20,17,4040,2733,18258,"Double","Core","TDM"
"Express","Full",76,100,8,15,800,1472,9879,"Double","Core","TDM"
"Crossroads Strike","Full",88,100,28,14,5510,3744,35439,"Double","Core","TDM"
"Express","Full",69,100,14,17,2340,2098,17885,"Double","Core","TDM"
"Garrison","Full",60,100,13,12,1920,1813,10249,"Regular","Core","TDM"
"Raid","Full",200,165,26,18,4610,4040,26628,"Double","Core","Domination"
"The Pines","Full",100,55,9,12,600,1339,7474,"Regular","Core","TDM"
"Checkmate","Full",89,84,17,16,1965,2822,20838,"Double","Core","TDM"
"Standoff","Full",100,71,13,13,1255,2106,16700,"Double","Core","TDM"
"Garrison","Partial",89,100,20,11,3800,3052,20021,"Double","Core","TDM"
"Raid","Full",78,100,15,20,2575,2617,7315,"Regular","Core","TDM"
"Checkmate","Full",100,86,15,13,2455,2146,7825,"Regular","Core","TDM"
"Collateral Strike","Full",37,65,6,17,570,986,7801,"Double","Core","Kill Confirmed"
"Miami Strike","Full",96,100,24,16,3980,3546,17868,"Double","Core","TDM"
"The Pines","Full",73,100,17,19,1960,2323,18493,"Double","Core","TDM"
"Miami Strike","Full",71,100,12,15,2820,1963,14359,"Double","Core","TDM"
"Miami Strike","Full",76,100,14,18,1825,2311,13600,"Double","Core","TDM"
"Crossroads Strike","Full",250,186,37,21,3875,4677,20732,"Double","Core","Hardpoint"
"Garrison","Full",95,68,17,11,3655,2056,20086,"Double","Core","TDM"
"Diesel","Full",100,93,24,20,3595,3468,21687,"Double","Core","TDM"
"Checkmate","Full",100,76,21,16,3360,3249,20175,"Double","Core","TDM"
"Hijacked","Full",250,121,21,24,2015,2494,9941,"Regular","Core","Hardpoint"
"Cartel","Full",86,97,13,17,2235,2327,8432,"Regular","Core","TDM"
"Crossroads Strike","Full",250,54,10,9,1900,1196,13210,"Regular","Core","Hardpoint"
"Standoff","Full",250,184,24,20,3235,2861,26395,"Double","Core","Hardpoint"
"Checkmate","Full",72,100,9,16,900,1362,13993,"Double","Core","TDM"
"Apocalypse","Full",180,200,8,33,1850,1369,15514,"Double","Core","Domination"
"Cartel","Full",100,71,26,10,4125,3599,25219,"Double","Core","TDM"
"The Pines","Full",75,100,21,15,3665,3236,25611,"Double","Core","TDM"
"Garrison","Full",81,73,17,17,2165,2719,10319,"Regular","Core","TDM"
"Echelon","Full",250,134,9,21,1600,1173,14731,"Double","Core","Hardpoint"
"Checkmate","Full",90,100,19,17,3160,3280,18200,"Double","Core","TDM"
"Moscow","Full",87,83,14,19,1115,1808,8794,"Regular","Core","TDM"
"Moscow","Full",100,76,10,19,750,1271,19530,"Double","Core","TDM"
"Cartel","Full",100,55,13,12,1890,1815,22255,"Double","Core","TDM"
"Diesel","Full",84,100,24,18,4070,3918,20028,"Double","Core","TDM"
"Express","Full",200,176,19,29,3160,3663,27644,"Double","Core","Domination"
"Express","Partial",68,100,7,10,650,997,9492,"Double","Core","TDM"
"Express","Full",100,70,19,13,3250,2740,11805,"Regular","Core","TDM"
"Moscow","Full",100,78,17,14,2360,2713,11524,"Regular","Core","TDM"
"Raid","Full",100,84,21,16,3270,2608,17545,"Double","Core","TDM"
"Rush","Partial",97,87,18,12,3240,2589,16037,"Double","Core","TDM"
"Checkmate","Full",75,100,16,16,1780,2115,15092,"Double","Core","TDM"
"The Pines","Full",69,71,13,16,1690,1977,8215,"Regular","Core","TDM"
"Slums","Full",59,250,20,17,2060,2527,12733,"Regular","Core","Hardpoint"
"Apocalypse","Full",100,85,19,14,2200,2057,13410,"Regular","Core","TDM"
"Crossroads Strike","Full",100,90,25,17,2745,3363,15380,"Double","Core","TDM"
"Nuketown '84","Partial",250,142,23,12,2815,2362,12174,"Regular","Core","Hardpoint"
"Checkmate","Full",100,88,11,17,1780,1769,17650,"Double","Core","TDM"
"Nuketown '84","Full",100,71,25,15,3485,4169,13461,"Double","Core","TDM"
"Express","Full",100,90,17,15,2615,2700,9005,"Regular","Core","TDM"
"The Pines","Full",100,69,19,13,2380,2776,18015,"Double","Core","TDM"
"Yamantau","Full",100,82,21,14,2965,3136,17532,"Double","Core","TDM"
"Garrison","Full",72,100,14,16,1770,1821,15334,"Double","Core","TDM"
"Checkmate","Full",100,82,12,18,1970,2182,15642,"Double","Core","TDM"
"Garrison","Full",88,85,15,12,2375,2000,23047,"Double","Core","TDM"
"Zoo","Full",65,39,10,10,1525,1397,15411,"Double","Core","Kill Confirmed"
"The Pines","Full",98,95,22,12,3600,3105,19760,"Double","Core","TDM"
"Moscow","Full",66,85,14,8,4020,1920,17972,"Double","Core","TDM"
"Crossroads Strike","Full",100,52,25,8,3920,3479,19886,"Double","Core","TDM"
"Nuketown '84","Full",62,100,20,13,3680,2886,15613,"Double","Core","TDM"
"Diesel","Partial",60,100,12,8,3635,1701,14247,"Double","Core","TDM"
"Zoo","Full",250,210,40,22,3995,4894,17036,"Regular","Core","Hardpoint"
"Garrison","Full",90,81,26,13,5620,3735,23825,"Double","Core","TDM"
